area	reference_surface	qt_surface	status	acceptance_evidence
SHELL	Views/MainWindow.axaml	src/ui/MainWindow.*;src/ui/MainWindowHeader.*;qml/ApmToolBar.qml;files/styles/style-outdoor.css;tests/test_missionplannerstyle.cpp	partial	Reference navigation, tools, connection strip and minimum geometry are integrated; the Mission Planner 10 Emerald tokens and representative Qt Widgets surfaces are locked by style tests, while automated reference visual snapshots remain
SHELL	Views/BackstageView.axaml	src/ui/configuration/ApmHardwareConfig.*;src/ui/configuration/ApmSoftwareConfig.*	partial	One Qt backstage navigation model with the same groups, ordering, visibility rules and active states
SHELL	Views/ConnectDialog.cs	src/ui/CommConfigurationWindow.*;src/ui/SerialConfigurationWindow.*;src/ui/MainWindowHeader.*;src/comm/VehicleEndpoint.*;src/comm/VehicleTargetManager.*;src/comm/ExactLinkTransmitter.*;src/comm/VehicleCommandService.*;src/comm/ParameterService.*;src/core/parameters/ParameterStore.*;src/uas/QGCUASParamManager.*;src/qml/ApmQmlApi.*;tests/test_vehicletargetmanager.cpp;tests/test_exactlinktransmitter.cpp;tests/test_vehiclecommandservice.cpp;tests/test_parameterservice.cpp;tests/test_qmlpluginmanager.cpp	partial	Primary serial/TCP/UDP/UDP-client connection paths and an exact `(link, system, component)` target registry exist. Duplicate ids on separate links remain distinct; Mission Planner's three visible discovery messages, stable labels/order, generation-guarded selection, QML snapshots and atomic invalidation on link removal are covered. Native DATA actions, QML, CONFIG/SETUP and the application parameter facade share one per-link MAVLink version/sequence transmitter and immutable exact-target leases. `cmb_sysid` now lists exact endpoints (excluding component 190), synchronizes link and legacy active-UAS selection and requests incomplete parameter snapshots unless Ctrl suppresses it. Parameter writes are serialized with bounded Mission Planner timing, exact ACKs, cancellation and deterministic batches. Mission plus remaining legacy UAS parameter/command routing and final reference geometry still prevent complete parity
SHELL	Views/ConnectionOptionsWindow.axaml	src/ui/ConnectionOptionsWindow.*;src/ui/ConnectionOptionsViewModel.*;src/ui/AddConnectionWindow.*;src/ui/AddConnectionViewModel.*;src/ui/MainWindow.*;src/ui/MainWindowHeader.*;src/comm/serialconnection.*;src/globalobject.*;tests/test_connectionoptionswindow.cpp	in-progress	TOOLS now opens the MP10 340x230 modeless Connection Options settings form with the exact eight default baud choices, GCS system id, Send GCS heartbeat, staged Save/Close semantics and canonical baudrate/CHK_GCSheartbeat/gcsid keys including the GCS_sysid fallback. Default baud and heartbeat apply immediately to safe consumers; GCS identity is deliberately restart-scoped until all exact ACK owners can change identity atomically, and shutdown no longer overwrites that pending value. The useful old 228x75 serial/TCP/UDP/UDPCl/WS creator remains a separately named Add Connection extension behind the header plus button rather than replacing the exact 24-item TOOLS route. Unit contracts and real-X11 evidence pass; live atomic GCS identity transition and final reference/native-platform visual comparison remain
DATA	GCSViews/FlightDataView.axaml	src/ui/FlightDataView.*;src/ui/flightdata/HudControl.*;src/ui/flightdata/FlightDataViewModel.*;src/ui/flightdata/FlightDataMapOverlay.*;src/ui/flightdata/FlightDataMissionProgress.*;src/ui/QGCTabbedInfoView.*;src/ui/map/AbstractMapWidget.*;src/ui/map/MapWidgetFactory.*;files/styles/style-outdoor.css;tests/test_hudcontrol.cpp;tests/test_flightdatamapoverlay.cpp;tests/test_flightdatamissionprogress.cpp;tests/test_dockableview.cpp;tests/test_flightviews.cpp;tests/test_opmapwidget.cpp;tests/test_mapwidgetfactory.cpp;tests/test_missionplannerstyle.cpp;src/ui/flightdata/QuickViewWidget.*;src/services/WarningTelemetrySource.*;tests/test_quickviewwidget.cpp	partial	Qt DATA has the canonical HudHost/Hud/FdTabs/FdMap surfaces and deterministic fixed 2:3/1:1 splitter geometry without floating state; its DATA-only MapVideoLayout now replaces the legacy map chrome with Auto Pan/Clear Track backend actions, live GPS/motion telemetry and distance-based mission progress while PLAN/SIM retain their controls; Emerald styling, live UAS binding and deterministic geometry/paint tests are integrated, including painter-state isolation that keeps the speed/altitude tapes translucent when AOA is enabled; all roles use the compiled-backend factory and one filesystem PureImageCache contract; vertical speed reaches the HUD but lacks a clearly visible numeric presentation, and optional QtLocation, full FdTabs actions, video controls and automated reference screenshot diff remain Native DATA Quick now supplies six MP10 default fields/colors, persistent field/layout selection, fresh exact-target values and working Warning Manager backgrounds/contrast; Quick (Legacy) remains separately available. Adaptive description/number sizing now fits actual label geometry under the production stylesheet and survives resize/rebuild/color updates. Missing Home is actively acquired by exact REQUEST_MESSAGE(242), with fresh heartbeat/position and 0/5/10-second intents then30-second backoff; no unknown distance is fabricated as zero. Final234/234 tests and X11 on actual network SITL1/1 verify current0.00A, Home distance about0.01m, and1120x720->1600x950->1120x720 text scaling. Full catalog/producers and reference description labels remain partial; see WARNING_MANAGER_PORT.md.
DATA	GCSViews/FlightDataView.axaml;GCSViews/FlightData.cs (0ec05b483, b6f3c25d3);ViewModels/FlightDataViewModel.cs	src/ui/uas/UASActionsWidget.*;src/ui/uas/UASActionsLayout.h;src/ui/uas/UASActionCatalog.h;src/ui/QGCTabbedInfoView.*;src/ui/MainWindow.*;src/comm/VehicleCommandService.*;src/comm/VehicleTargetManager.*;src/qml/ApmQmlApi.*;docs/porting/QML_PLUGINS.md;tests/test_uasactionswidget.cpp;tests/test_vehiclecommandservice.cpp;tests/test_qmlpluginmanager.cpp	partial	The MP10 5x5 Actions grid and all 19 canonical labels/object names are rendered; connection/pending state disables the command surface, disarm is confirmed, Restart Mission and Abort Landing are wired, and serialized COMMAND_ACK handling captures an immutable exact link/system/component lease, accepts only the matching responder and command, preserves in-progress/final/10-second unknown-outcome states, and fails closed when the exact target is stale or unavailable. Clear Track delegates to the active DATA map backend, Raw Sensor View selects the live Status tab, Joystick opens the existing cross-platform setup dialog, Format_SD_Card uses the upstream p1=1/p2=1 request with destructive confirmation, and trusted QML plugins can register/unregister positioned DATA callbacks through the direct core API with duplicate/error/lifetime handling. Five other backend actions remain visible but disabled, and live-vehicle command evidence is still required
DATA	GCSViews/FlightDataView.axaml (Simple Actions; PreFlight);Services/PreflightChecklist.cs;GCSViews/FlightData.cs	src/ui/flightdata/PreflightChecklistModel.*;src/ui/flightdata/PreflightChecklistWidget.*;src/ui/flightdata/SimpleActionsWidget.*;src/ui/QGCTabbedInfoView.*;src/ui/uas/UASActionsWidget.*;tests/test_preflightchecklist.cpp	in-progress	The MP10-ordered 12-row PreFlight surface evaluates only GPS fix, satellite count, link quality, primary battery voltage and relative altitude already normalized by FlightDataViewModel; Mode and physical airframe checks remain explicit manual acknowledgements persisted only under the fresh FlightData/PreFlight/v1 namespace. Automatic checks are read-only and unavailable while disconnected. The dedicated LOITER/RTL/AUTO Simple Actions tab delegates to the same connection-safe UASActionsWidget mode backend and mirrors its availability/status. Unit behavior and widget contracts are covered; live-vehicle mode evidence and reference/Qt screenshot diff remain
DATA	Views/InfoPageView.axaml	src/ui/QGCTabbedInfoView.*;src/ui/uas/UASInfoWidget.*	partial	Reference telemetry groups and configurable fields match
DATA	Views/ProximityWindow.cs	src/uas/Proximity.*;src/ui/flightdata/ProximityRadarControl.*;src/ui/flightdata/ProximityWindow.*;tests/test_proximityradar.cpp	in-progress	Per-UAS DISTANCE_SENSOR/OBSTACLE_DISTANCE state, BODY/GLOBAL orientation, MP10 geometry, keyboard scaling and deterministic render tests implemented; reference/Qt screenshot-diff evidence remains
PLAN	GCSViews/FlightPlannerView.axaml.cs;Views/ElevationGraphWindow.cs;ViewModels/FlightPlannerViewModel.cs (WinForms: GCSViews/FlightPlanner.cs;Controls/ElevationProfile.cs)	src/ui/MainWindow.*;src/ui/MissionElevationDisplay.*;src/ui/flightplanner/MissionElevationProfile.*;src/ui/flightplanner/FlightPlannerViewModel.*;src/ui/configuration/ElevationSourceService.*;tests/test_missionelevationprofile.cpp;tests/test_flightplannerviewmodel.cpp	in-progress	The PLAN Elevation Graph action builds an immutable current Mission/HOME profile in canonical SI, samples the shared local-GDAL/SRTM source at a requested 10 m spacing with adaptive 4096-point display cap, follows the original route-command filter, handles Absolute/Relative/Terrain and INT frames, dateline crossing, missing-DEM gaps and mixed-frame endpoints, and applies altunits/distunits only while rendering; Planned Path/DEM labels, red/blue curves, title, axes, waypoint markers, grid, pan/zoom and live mission/Home/terrain/unit refresh are integrated; domain/ViewModel tests, a full 72-test run and real-X11 open/render/close evidence are verified, while a dedicated automated window/action test and reference screenshot diff remain
